lambda_um	epsilon	I_BB
8.72974	98.40277	265033430.18427742
8.7224	98.29894	265813828.11100796
8.71507	98.19768	266596007.67536142
8.70775	98.12718	267379969.5526419
8.70045	98.1151	268164637.55059662
8.69315	98.18006	268952162.0639599
8.68587	98.26249	269740386.06971085
8.6786	98.29302	270530386.957565
8.67135	98.36025	271321072.6712396
8.6641	98.44516	272114624.9011561
8.65687	98.52694	272908854.9844543
8.64965	98.59152	273704855.91229135
8.64244	98.63629	274502628.07322115
8.63525	98.66953	275301059.35318387
8.62806	98.70508	276102371.0312309
8.62089	98.75509	276904334.4329622
8.61373	98.82411	277708062.2890089
8.60659	98.90701	278512426.24321955
8.59944	98.99131	279320812.24774086
8.59232	99.06276	280128698.0216955
8.58521	99.08176	280938340.852603
8.57811	99.06985	281749740.82901084
8.57101	99.07972	282564046.9726154
8.56394	99.10748	283377812.44027644
8.55687	99.1108	284194484.1195356
8.54982	99.09619	285011751.721034
8.54278	99.0825	285830768.2321716
8.53574	99.0691	286652703.1426364
8.52873	99.05684	287474047.5275674
8.52172	99.04937	288298310.01536804
8.51473	99.05221	289123138.71409273
8.50773	99.06904	289952079.7227817
8.50076	99.09804	290780395.97271276
8.4938	99.1301	291610451.3724234
8.48685	99.1473	292442245.5851594
8.47991	99.03358	293275778.2457139
8.47298	98.89027	294111048.96027845
8.46607	98.73866	294946845.6289516
8.45916	98.6066	295785586.8846924
8.45226	98.51855	296626064.8282413
8.44538	98.4854	297467054.4329797
8.43851	98.4981	298309771.0724698
8.43165	98.52859	299154214.1431398
8.42481	98.53849	299999145.56924456
8.41796	98.49266	300848277.01517314
8.41114	98.37271	301696649.33840936
8.40432	98.18512	302547987.14496857
8.39752	97.96036	303399793.0632514
8.39072	97.74318	304254571.612219
8.38394	97.57772	305109807.89647895
8.37717	97.49315	305966755.8775464
8.37041	97.49499	306825414.64431816
8.36365	97.56529	307687060.0899676
8.35691	97.67071	308549142.00290495
8.35019	97.77512	309411646.08128285
8.34347	97.85154	310277138.2567437
8.33677	97.88914	311143041.5655634
8.33006	97.89297	312013238.79279846
8.32338	97.87798	312882541.3242969
8.31671	97.86042	313753537.22458905
8.31004	97.85081	314627537.8638361
8.30339	97.85092	315501921.2958481
8.29674	97.85653	316379315.97590685
8.29011	97.8618	317257081.80319005
8.28349	97.86431	318136534.54319775
8.27688	97.86716	319017672.80173576
8.27028	97.87721	319900495.15149415
8.26369	97.86239	320785000.1319025
8.25711	97.81628	321671186.24898535
8.25054	97.75001	322559051.9752163
8.24398	97.66346	323448595.7493752
8.23744	97.55841	324338453.01904035
8.2309	97.43847	325231343.4226831
8.22437	97.30842	326125906.9753084
8.21785	97.1736	327022141.979473
8.21135	97.03922	327918665.0943191
8.20485	96.91037	328818233.077568
8.19837	96.79225	329718076.2001659
8.19189	96.65694	330620969.91122603
8.18542	96.60461	331525526.0441764
8.17897	96.56147	332430337.512632
8.17253	96.54329	333336798.05861664
8.16609	96.55647	334246320.35192174
8.15966	96.59475	335157497.2072786
8.15325	96.64684	336068902.33266026
8.14685	96.69864	336981948.298197
8.14045	96.73682	337898066.787333
8.13406	96.75221	338815831.40758795
8.12769	96.74193	339733796.4728609
8.12133	96.70934	340653393.56538033
8.11497	96.66204	341576073.5661351
8.10862	96.60874	342500390.6870157
8.10229	96.55658	343424879.6595706
8.09597	96.50972	344350991.2620336
8.08965	96.46995	345280195.7566853
8.08334	96.43864	346211027.77152926
8.07705	96.41883	347142002.26770145
8.07076	96.41619	348076076.8853779
8.06449	96.43819	349010279.00517017
8.05822	96.49147	349947585.9296587
8.05196	96.57869	350886507.5386526
8.04572	96.69625	351825533.8122521
8.03948	96.83399	352767671.727475
8.03326	96.9775	353709898.8325432
8.02704	97.11203	354655241.99730104
8.02083	97.2269	355602186.0599651
8.01463	97.18219	356550728.15226656
8.00844	97.13398	357500865.3670945
8.00226	97.12034	358452594.75836515
7.99609	97.1539	359405913.34088916
7.98993	97.23343	360360818.0902413
7.98378	97.34326	361317305.94263107
7.97764	97.45774	362275373.79477197
7.97151	97.54906	363235018.5037517
7.96539	97.59531	364196236.8869057
7.95927	97.58595	365160604.0600193
7.95317	97.52328	366124965.2420129
7.94707	97.41958	367092478.9964945
7.94099	97.29234	368059969.8124137
7.93491	97.15947	369030616.86832374
7.92884	97.03673	370002828.1002252
7.92279	96.93725	370974990.5841157
7.91674	96.87205	371950314.6012581
7.9107	96.85001	372927192.3701699
7.90468	96.87631	373903995.11105585
7.89865	96.94974	374885594.91076154
7.89264	97.06106	375867112.45310163
7.88664	97.19369	376850169.28828764
7.88065	97.3278	377834761.6980307
7.87466	97.4464	378822537.6236799
7.86869	97.54042	379810195.1883054
7.86272	97.61026	380801039.31006515
7.85677	97.6627	381791746.7004833
7.85082	97.70444	382785643.56680626
7.84488	97.73572	383781063.5966155
7.83895	97.74758	384778002.8115774
7.83303	97.72432	385776457.1908073
7.82712	97.65047	386776422.6707523
7.82121	97.51902	387779595.27621853
7.81532	97.33666	388782576.0347553
7.80944	97.12318	389787055.4575278
7.80356	96.90469	390794745.80083597
7.79769	96.70362	391803937.24989045
7.79183	96.53014	392814625.5166986
7.78599	96.37891	393825073.29662275
7.78015	96.23271	394838736.6442318
7.77431	96.0711	395855627.69010204
7.76849	95.87995	396872259.4757286
7.76267	95.65733	397892121.10048133
7.75687	95.4131	398911703.3422008
7.75107	95.16273	399934517.4327168
7.74528	94.91906	400958803.6499902
7.7395	94.68665	401984557.3440147
7.73373	94.46155	403011773.8201998
7.72797	94.23621	404040448.3392652
7.72221	94.0064	405072370.469831
7.71647	93.77577	406103952.3276767
7.71073	93.55526	407138783.42663175
7.705	93.35701	408175064.5285248
7.69928	93.18647	409212790.70259166
7.69357	93.03661	410251956.97267765
7.68787	92.88807	411292558.3171369
7.68217	92.71586	412336423.8772115
7.67649	92.5002	413379885.8614036
7.67081	92.23648	414426613.29872954
7.66514	91.9396	415474766.8094881
7.65948	91.6402	416524341.1763859
7.65383	91.37424	417575331.13596
7.64818	91.16981	418629600.24539906
7.64254	91.03693	419685285.92264485
7.63692	90.96363	420740502.2690836
7.6313	90.92001	421798999.07959574
7.62568	90.86806	422860788.43515766
7.62008	90.77371	423922086.2239824
7.61449	90.61675	424984773.26688355
7.6089	90.39539	426050753.85029566
7.60332	90.12476	427118124.25061023
7.59775	89.83036	428186878.8031097
7.59219	89.53927	429257011.7957008
7.58664	89.27225	430328517.46882504
7.58109	89.03889	431403329.59444696
7.57555	88.83657	432479514.6867905
7.57002	88.65286	433557066.87620574
7.5645	88.46982	434635980.2451293
7.55899	88.26893	435716248.8280012
7.55348	88.03579	436799836.2078731
7.54798	87.76389	437884778.8054313
7.5425	87.45695	438969088.8454779
7.53702	87.12936	440056717.53086114
7.53154	86.80392	441147676.8879293
7.52607	86.50673	442239979.03966856
7.52062	86.26161	443331611.69416016
7.51517	86.085	444426574.54770625
7.50973	85.984	445522861.32125765
7.50429	85.9577	446622490.0787518
7.49887	86.00026	447721411.6395515
7.49345	86.10308	448823674.6058714
7.48804	86.25427	449927248.026811
7.48263	86.43513	451034174.527324
7.47724	86.6163	452140355.36466044
7.47185	86.75812	453249888.48144823
7.46648	86.81923	454358650.1793539
7.4611	86.77177	455472837.3083217
7.45574	86.61449	456586239.5344716
7.45038	86.37545	457703004.55191815
7.44504	86.1033	458818958.4669736
7.43969	85.8528	459940373.24766165
7.43436	85.67045	461060963.1052645
7.42903	85.58353	462184925.91891575
7.42372	85.59394	463308037.162664
7.4184	85.67846	464436644.5734853
7.4131	85.79649	465564386.2535213
7.40781	85.90349	466693373.31027806
7.40252	85.96566	467825742.31860864
7.39724	85.96975	468959355.0558648
7.39197	85.92427	470094204.24433565
7.3867	85.85262	471232445.6258712
7.38145	85.78208	472369752.12550336
7.3762	85.73362	473510448.9328391
7.37095	85.7164	474654548.0039165
7.36572	85.72818	475797683.36992973
7.36049	85.76028	476944218.95573056
7.35527	85.80403	478091964.7085616
7.35006	85.85664	479240913.0018928
7.34485	85.92296	480393271.25129485
7.33965	86.01297	481546829.7536847
7.33446	86.13601	482701580.75781333
7.32928	86.29551	483857516.4603254
7.3241	86.48731	485016870.4416015
7.31894	86.70137	486175158.5301265
7.31377	86.9241	487339116.96663976
7.30862	87.13961	488501993.599361
7.30347	87.33021	489668296.4441304
7.29833	87.47814	490835762.7570525
7.2932	87.56983	492004384.42923945
7.28808	87.60266	493174153.2990492
7.28296	87.5905	494347355.9178673
7.27785	87.56347	495521702.6959898
7.27274	87.55916	496699493.5891337
7.26765	87.60864	497876110.5113509
7.26255	87.72501	499058490.11892074
7.25747	87.90026	500239678.9703081
7.2524	88.11136	501421983.60033387
7.24733	88.33137	502607737.6513135
7.24227	88.53974	503794604.01272
7.23721	88.72811	504984929.9238958
7.23217	88.90023	506174001.8887409
7.22713	89.06705	507366529.76026297
7.2221	89.2395	508560148.9618135
7.21707	89.42174	509757234.0422554
7.21205	89.60919	510955406.6329344
7.20704	89.7934	512154657.8673382
7.20204	89.97168	513354978.82485473
7.19704	90.15483	514558771.58902746
7.19205	90.36784	515763629.9892254
7.18706	90.64346	516971969.9840809
7.18209	91.01091	518178939.4250289
7.17712	91.48207	519389386.1926673
7.17215	92.03855	520603322.12455535
7.16719	92.62657	521818306.00992686
7.16225	93.16983	523031868.44846493
7.1573	93.6004	524251380.5131182
7.15236	93.88905	525471926.7087336
7.14744	94.0527	526691016.2575985
7.14252	94.13717	527913595.34377307
7.1376	94.19187	529139675.766958
7.13269	94.25176	530366766.6274413
7.12779	94.33098	531594858.3296483
7.12289	94.42571	532826458.27259886
7.11801	94.52218	534056529.81711733
7.11312	94.56165	535292635.9232255
7.10825	94.55592	536527194.1093236
7.10338	94.5548	537765264.6084448
7.09852	94.55579	539004306.1275879
7.09366	94.55757	540246869.0771847
7.08881	94.56013	541490397.6567204
7.08397	94.56419	542734881.8557807
7.07913	94.57009	543982893.7901157
7.07431	94.57609	545229266.2687297
7.06948	94.57653	546481757.617728
7.06467	94.56039	547732589.1544398
7.05986	94.512	548986951.6017493
7.05506	94.39257	550242237.8572913
7.05026	94.12172	551501063.8157787
7.04547	93.80458	552760807.6083246
7.04069	93.48403	554021458.8026925
7.03591	93.19684	555285655.3820066
7.03114	92.9571	556550753.1909598
7.02637	92.75416	557819405.0284535
7.02162	92.56203	559086280.9735652
7.01687	92.35154	560356704.575404
7.01213	92.10097	561628001.7435504
7.00738	91.80312	562905548.3507693
7.00265	91.46747	564181276.1436325
6.99793	91.11652	565457860.0778788
6.99321	90.77794	566738005.1804663
6.9885	90.47692	568018999.648547
6.98379	90.23242	569303563.5785731
6.97909	90.05841	570588969.9903684
6.9744	89.96755	571875207.7911237
6.96971	89.9729	573165019.7736919
6.96503	90.08386	574455656.0559813
6.96036	90.29719	575747105.399716
6.95569	90.59035	577042133.420351
6.95103	90.92451	578337967.2061447
6.94637	91.2554	579637387.6771222
6.94172	91.54219	580937606.5062016
6.93708	91.70445	582238612.2196989
6.93244	91.81845	583543208.78645
6.92781	91.88786	584848584.6208887
6.92318	91.89158	586157559.1471089
6.91857	91.75894	587464466.3730605
6.91396	91.5595	588774964.4629116
6.90935	91.31649	590089065.0534925
6.90475	91.05557	591403917.5213674
6.90015	90.7982	592722380.1540636
6.89557	90.55635	594038708.5919064
6.89098	90.33002	595361524.9329436
6.88641	90.1072	596682183.1197559
6.88184	89.86464	598006450.7920015
6.87728	89.57104	599331429.9558924
6.87272	89.19779	600660026.0066804
6.86816	88.74092	601992250.585832
6.86362	88.24081	603322248.3565485
6.85908	87.76917	604655866.0516136
6.85455	87.38376	605990165.8047334
6.85002	87.09835	607328092.6990707
6.8455	86.89074	608666692.8288116
6.84098	86.72443	610008927.2651906
6.83648	86.56291	611348844.3691082
6.83197	86.3764	612695376.4323477
6.82747	86.14547	614042563.720444
6.82298	85.86303	615390393.552662
6.8185	85.53274	616738853.189711
6.81402	85.16381	618090951.9725385
6.80954	84.76485	619446701.4758422
6.80507	84.34097	620803074.8279371
6.80061	83.89698	622160059.1010646
6.79616	83.44596	623517641.3087677
6.7917	83.01702	624881934.5091472
6.78726	82.6498	626243761.0701951
6.78282	82.3722	627609242.2250088
6.77839	82.18189	628975301.7362868
6.77396	82.05329	630345022.4205875
6.76954	81.95876	631715311.4830002
6.76512	81.88214	633089268.2403167
6.76071	81.81972	634463783.2727908
6.7563	81.77511	635841972.4640368
6.75191	81.75286	637217572.0399071
6.74752	81.75279	638596835.4427875
6.74313	81.76647	639979774.1672558
6.73875	81.77653	641363236.9502345
6.73437	81.75889	642750381.3109397
6.73	81.68788	644138039.1453155
6.72564	81.54475	645526196.677402
6.72128	81.32833	646918036.5875089
6.71692	81.06079	648313570.3793606
6.71258	80.77849	649706382.5918248
6.70824	80.51008	651102877.7408807
6.7039	80.25948	652503067.2940226
6.69957	80.00684	653903723.7087622
6.69524	79.72145	655308080.4467876
6.69092	79.37765	656712892.8424288
6.68661	78.97049	658118146.6690217
6.6823	78.52738	659527100.9678859
6.678	78.10479	660936485.2579728
6.6737	77.76303	662349575.7198461
6.66941	77.53436	663763084.6019694
6.66512	77.41096	665180305.2902783
6.66084	77.3568	666597932.6959816
6.65657	77.32592	668015952.2360241
6.6523	77.27361	669437683.1933415
6.64803	77.16363	670863137.0009434
6.64377	76.9828	672288973.71568
6.63952	76.76595	673715178.5549272
6.63527	76.60021	675145105.588482
6.63103	76.56912	676575388.5378112
6.62679	76.68683	678009398.9548036
6.62256	76.9103	679443752.9442595
6.61834	77.19189	680878435.4632943
6.61412	77.50179	682316844.3752102
6.6099	77.82112	683758991.0677398
6.60569	78.1297	685201456.2339298
6.60148	78.3986	686647664.2460494
6.59729	78.59014	688090729.4543071
6.59309	78.66489	689540982.0931411
6.5889	78.59484	690991527.5614918
6.58472	78.37818	692442350.4115053
6.58054	78.04883	693896919.4454035
6.57637	77.67108	695351752.7280811
6.5722	77.31421	696810336.949888
6.56804	77.01944	698269172.1492561
6.56388	76.78514	699731762.9701443
6.55973	76.58151	701194591.3584569
6.55558	76.37756	702661179.977208
6.55144	76.15879	704127992.6137465
6.5473	75.93022	705598570.0155557
6.54318	75.71085	707065791.9684691
6.53905	75.52536	708540339.7836
6.53493	75.39592	710015084.0911362
6.53081	75.33561	711493601.981377
6.5267	75.34529	712972302.3925346
6.5226	75.41473	714451169.0981027
6.5185	75.52726	715933806.5975903
6.5144	75.66478	717420226.1932874
6.51031	75.81095	718906799.9359788
6.50623	75.952	720393511.3914522
6.50215	76.07687	721884001.8579115
6.49808	76.17904	723374615.5296137
6.49401	76.26037	724869012.1901784
6.48995	76.33206	726363517.4049509
6.48589	76.40595	727861809.507729
6.48183	76.48282	729363899.7746415
6.47778	76.55268	730866085.7180829
6.47374	76.60421	732368350.4856707
6.4697	76.62971	733874409.7287793
6.46567	76.62494	735380532.7112455
6.46164	76.58829	736890453.8286316
6.45762	76.52169	738400423.4549891
6.4536	76.43204	739914194.7945427
6.44958	76.33148	741431779.0918884
6.44557	76.23525	742949398.2770038
6.44157	76.15736	744467035.0757464
6.43757	76.10604	745988480.5265226
6.43358	76.08144	747509927.9206051
6.42959	76.0771	749035187.298134
6.42561	76.08538	750560432.8010373
6.42163	76.10562	752089493.5353222
6.41766	76.14598	753618524.4289505
6.41369	76.21043	755151373.7178359
6.40972	76.28807	756688052.5995207
6.40576	76.36425	758224687.0719639
6.40181	76.43363	759761259.329256
6.39786	76.49894	761301656.0833083
6.39392	76.56593	762841974.208916
6.38998	76.64136	764386119.7395533
6.38604	76.73236	765934103.8404733
6.38211	76.84451	767481994.1666566
6.37819	76.97878	769029772.5908688
6.37427	77.12926	770581384.0053673
6.37035	77.28459	772136839.5521963
6.36644	77.43265	773692167.6618689
6.36253	77.56499	775251342.5677341
6.35863	77.6778	776810372.9795157
6.35474	77.77007	778369240.4470387
6.35085	77.84137	779931948.6396483
6.34696	77.8912	781498508.6620423
6.34308	77.9212	783064889.6161841
6.3392	77.93818	784635124.7972738
6.33533	77.9563	786205163.3952057
6.33146	77.99617	787779058.5272502
6.3276	78.08126	789352739.4076958
6.32374	78.23308	790930279.0388643
6.31989	78.46582	792507586.5960464
6.31604	78.78081	794088755.0294604
6.31219	79.16256	795673795.4252415
6.30835	79.57865	797258586.7921294
6.30452	79.98576	798843109.9793525
6.30069	80.34047	800431498.0471653
6.29686	80.61075	802023762.0522354
6.29304	80.78405	803615740.5200417
6.28923	80.86938	805207414.0815424
6.28541	80.89327	806807149.0314981
6.2816	80.89053	808406580.8442427
6.2778	80.8928	810005689.9899988
6.27401	80.91887	811604456.8808976
6.27021	80.97081	813211329.3027444
6.26642	81.03675	814817861.050159
6.26264	81.0984	816424032.3738931
6.25886	81.13976	818034088.007364
6.25509	81.15358	819643764.1028107
6.25132	81.14396	821257325.8976531
6.24755	81.12429	822874784.3871886
6.24379	81.11212	824491844.7171392
6.24003	81.12302	826112803.047107
6.23628	81.16579	827733343.7403715
6.23253	81.24011	829357783.6420201
6.22879	81.33667	830981786.2708988
6.22505	81.4397	832609689.2190626
6.22132	81.53092	834237135.099127
6.21758	81.59351	835872861.1499376
6.21386	81.61449	837503741.8144947
6.21014	81.58515	839138524.7550844
6.20642	81.50069	840777220.9115478
6.20271	81.36097	842415420.3422259
6.199	81.17342	844057533.8145798
6.1953	80.95708	845699130.2371988
6.1916	80.74368	847344641.4275426
6.18791	80.57068	848989615.083254
6.18422	80.4665	850638504.132501
6.18053	80.43632	852291319.4910389
6.17685	80.45915	853943576.9340713
6.17317	80.49797	855599761.2208489
6.1695	80.51507	857255366.7343608
6.16583	80.4849	858914899.5245737
6.16217	80.40155	860573832.5215143
6.15851	80.28022	862236693.126137
6.15485	80.15172	863903492.2265499
6.1512	80.05007	865569670.4677311
6.14756	79.99784	867235206.3880894
6.14392	79.99812	868904670.300052
6.14028	80.03726	870578073.0487096
6.13664	80.09497	872255425.5129734
6.13302	80.15486	873927489.7807322
6.12939	80.21174	875608117.303686
6.12577	80.27566	877288059.2517575
6.12215	80.37238	878971950.8568397
6.11854	80.53592	880655134.9468218
6.11494	80.78777	882337589.5571653
6.11133	81.1115	884028672.4780354
6.10773	81.45332	885719025.642516
6.10414	81.75743	887408626.9174709
6.10055	81.9995	889102177.0187452
6.09696	82.18963	890799686.7447149
6.09338	82.35754	892496421.9034511
6.0898	82.53904	894197116.2043949
6.08623	82.76809	895897013.2841104
6.08266	83.07114	897600868.9166071
6.07909	83.4607	899308693.8852911
6.07553	83.92973	901015698.4654686
6.07197	84.45258	902726671.6906458
6.06842	84.99516	904436801.4864001
6.06487	85.52636	906150899.127873
6.06133	86.01797	907864130.1324049
6.05779	86.43257	909581328.0748711
6.05425	86.71758	911302503.6965941
6.05072	86.82576	913022788.7992252
6.04719	86.75197	914747050.5690553
6.04367	86.54527	916470398.2223036
6.04015	86.28122	918197721.4210632
6.03663	86.02646	919929030.8874512
6.03312	85.82326	921659401.8565764
6.02961	85.69144	923393757.8656223
6.02611	85.63533	925127151.3876245
6.02261	85.64834	926864528.6111072
6.01911	85.71486	928605900.2372735
6.01562	85.81236	930346284.4934918
6.01213	85.916	932090661.7062014
6.00865	86.00462	933834027.1646637
6.00517	86.06466	935581384.0216107
6.00169	86.08946	937332742.9556222
5.99822	86.07493	939083064.7466722
5.99476	86.01489	940832325.5058613
5.9913	85.8986	942585574.2412673
5.98784	85.71283	944342821.5751737
5.98438	85.44873	946104078.1617254
5.98093	85.11022	947864246.9291067
5.97748	84.71842	949628423.0576231
5.97404	84.30842	951391486.187498
5.9706	83.9205	953158554.6730893
5.96716	83.5908	954929639.1424739
5.96373	83.3442	956699584.2027692
5.96031	83.18974	958468365.3923618
5.95688	83.11709	960246337.0652593
5.95346	83.09303	962023142.6342869
5.95005	83.05856	963798757.4635639
5.94664	82.93148	965578381.5768033
5.94323	82.62594	967362025.5440089
5.93982	82.09728	969149699.966532
5.93642	81.38872	970936155.2611417
5.93303	80.62157	972721366.5042131
5.92964	79.91833	974510592.5889685
5.92625	79.33731	976303844.0551388
5.92286	78.87171	978101131.4735637
5.91948	78.48358	979897145.815595
5.91611	78.13232	981691861.869468
5.91273	77.78829	983495941.3134769
5.90936	77.43659	985298719.6550926
5.906	77.07576	987100171.506888
5.90264	76.71373	988905650.8679429
5.89928	76.3617	990715168.2447585
5.89592	76.02837	992528734.1746327
5.89257	75.71625	994340943.5945545
5.88923	75.42263	996151770.8280814
5.88589	75.14342	997966629.8873526
5.88255	74.8761	999785531.2442284
5.87921	74.62025	1001608485.4011194
5.87588	74.37637	1003430026.7037296
5.87256	74.14431	1005250129.1864237
5.86923	73.9227	1007079767.795316
5.86591	73.71038	1008907964.1716701
5.8626	73.50911	1010734692.1730747
5.85928	73.32521	1012570999.9008499
5.85597	73.16813	1014405835.7183609
5.85267	73.04687	1016239173.3060224
5.84937	72.96596	1018076560.2628545
5.84607	72.92298	1019918007.0164537
5.84278	72.90767	1021757925.3898664
5.83949	72.90186	1023601899.779787
5.8362	72.88079	1025449940.6090317
5.83292	72.8181	1027296422.6057047
5.82964	72.69761	1029146967.1363493
5.82637	72.52668	1030995924.0965166
5.82309	72.3337	1032854612.5123992
5.81983	72.1456	1034706023.9181836
5.81656	71.97232	1036567187.5732465
5.8133	71.81173	1038426730.5861565
5.81005	71.65974	1040284625.87915
5.80679	71.51435	1042152317.032801
5.80354	71.37546	1044018356.1850588
5.8003	71.24427	1045882716.0799156
5.79705	71.12246	1047756915.4836189
5.79382	71.01148	1049623645.568002
5.79058	70.91217	1051500235.8548977
5.78735	70.825	1053375112.7753656
5.78412	70.75072	1055254072.3059617
5.7809	70.69164	1057131288.5896575
5.77768	70.65122	1059012582.8200146
5.77446	70.63177	1060897965.3131673
5.77125	70.62975	1062781572.10554
5.76804	70.63207	1064669262.3666894
5.76483	70.61979	1066561046.4039536
5.76163	70.57852	1068451021.9767059
5.75843	70.50587	1070345086.4001518
5.75523	70.40993	1072243249.9723241
5.75204	70.30229	1074139572.005303
5.74885	70.19201	1076039988.129344
5.74567	70.08232	1077938531.9252052
5.74249	69.9699	1079841164.628274
5.73931	69.84597	1081747896.487606
5.73614	69.69877	1083652722.3943222
5.73297	69.51665	1085561642.1399045
5.7298	69.29127	1087474665.9625866
5.72663	69.0214	1089391804.1292512
5.72347	68.71725	1091306999.6735463
5.72032	68.4025	1093220223.862719
5.71716	68.10993	1095143634.3803995
5.71401	67.86987	1097065067.9560127
5.71087	67.69883	1098984495.6771448
5.70772	67.59724	1100914153.4145257
5.70458	67.55569	1102841799.574515
5.70145	67.56179	1104767405.0648704
5.69831	67.60321	1106703284.277968
5.69519	67.66796	1108630932.0238752
5.69206	67.74449	1110568873.8440406
5.68894	67.82304	1112504736.8711107
5.68582	67.89762	1114444716.1913896
5.6827	67.9666	1116388821.981319
5.67959	68.03167	1118330813.4596672
5.67648	68.0939	1120276925.272182
5.67338	68.15041	1122220890.0756311
5.67027	68.1932	1124175259.7416303
5.66718	68.21074	1126121172.0104418
5.66408	68.19075	1128077509.4100704
5.66099	68.12336	1130031660.5138633
5.6579	68.00401	1131989939.540799
5.65482	67.83623	1133945999.07452
5.65173	67.63412	1135912550.9337516
5.64865	67.42185	1137876876.7448494
5.64558	67.2274	1139838946.3344116
5.64251	67.07153	1141805140.7397337
5.63944	66.96119	1143775470.034957
5.63637	66.8941	1145749944.3216786
5.63331	66.86824	1147722121.925882
5.63026	66.886	1149691972.3846323
5.6272	66.95053	1151672422.8077388
5.62415	67.05874	1153650539.1157894
5.6211	67.19528	1155632796.6483326
5.61806	67.33101	1157612685.8635147
5.61502	67.42851	1159596709.1905315
5.61197	67.45424	1161591423.5267484
5.60894	67.39213	1163577198.3004398
5.60591	67.24994	1165567109.9858606
5.60288	67.05399	1167561168.5884154
5.59986	66.83624	1169552782.5216627
5.59683	66.62093	1171555151.313582
5.59381	66.41646	1173555068.0229542
5.5908	66.21382	1175552501.3934243
5.58779	65.99175	1177554076.7541752
5.58478	65.72724	1179559804.0731418
5.58177	65.40851	1181569693.3449826
5.57877	65.04298	1183577056.4395444
5.57577	64.65442	1185588573.7821798
5.57277	64.27119	1187604255.3479545
5.56978	63.91476	1189617371.3410382
5.56679	63.59507	1191634643.7056866
5.56381	63.31265	1193649314.7774737
5.56082	63.06285	1195674915.792414
5.55784	62.83929	1197697907.5155125
5.55486	62.63437	1199725067.5004833
5.55189	62.43773	1201749582.1388788
5.54892	62.23541	1203778256.892142
5.54595	62.01143	1205811101.673459
5.54299	61.75191	1207841260.7287006
5.54003	61.44948	1209875581.5163586
5.53707	61.106	1211914073.9279609
5.53411	60.73326	1213956747.8811827
5.53116	60.35157	1215996691.1665232
5.52822	59.98545	1218033871.2656095
5.52527	59.65671	1220082156.4139385
5.52233	59.37657	1222127669.7812922
5.51939	59.14196	1224177357.4826055
5.51645	58.93854	1226231229.3905041
5.51352	58.74929	1228282288.0592756
5.51059	58.56222	1230337522.1740224
5.50766	58.37346	1232396941.5841196
5.50474	58.18526	1234453505.9658175
5.50182	58.00124	1236514246.7309263
5.4989	57.82234	1238579173.7050526
5.49599	57.64515	1240641203.5300477
5.49308	57.46367	1242707410.5002525
5.49017	57.2731	1244777804.4169874
5.48727	57.07355	1246845258.7320902
5.48436	56.87183	1248924041.5754075
5.48146	56.68	1250999875.5843103
5.47857	56.51122	1253072727.1908538
5.47568	56.37423	1255149756.9688344
5.47279	56.2692	1257230974.6695523
5.4699	56.18766	1259316390.069565
5.46702	56.11735	1261398775.1761913
5.46414	56.04937	1263485348.4422684
5.46126	55.98227	1265576119.6184795
5.45838	55.92116	1267671098.4806864
5.45551	55.87315	1269762998.6458762
5.45265	55.8426	1271851786.008126
5.44978	55.82865	1273952077.1931531
5.44692	55.82599	1276049245.7262707
5.44406	55.82744	1278150612.0821226
5.4412	55.82678	1280256185.9830816
5.43835	55.82029	1282358592.925765
5.4355	55.80635	1284465197.3910432
5.43265	55.78409	1286576009.0738285
5.42981	55.75231	1288683609.15728
5.42697	55.71028	1290795406.279659
5.42413	55.65996	1292911410.1079028
5.42129	55.60759	1295031630.3336108
5.41846	55.56257	1297148588.802744
5.41563	55.53414	1299269753.3152297
5.4128	55.52801	1301395133.5341256
5.40998	55.54476	1303517206.58854
5.40716	55.57993	1305643484.8379464
5.40434	55.62543	1307773977.9163527
5.40153	55.6719	1309901118.0867062
5.39871	55.71136	1312040054.7909894
5.39591	55.73926	1314168020.5115116
5.3931	55.75492	1316307801.999148
5.3903	55.76004	1318444179.0712435
5.3875	55.75615	1320584768.6891139
5.3847	55.74257	1322729580.4513655
5.38191	55.71666	1324870941.2841773
5.37911	55.67644	1327024211.0627286
5.37633	55.62407	1329166305.932513
5.37354	55.56773	1331320328.9080362
5.37076	55.52053	1333470848.5060053
5.36798	55.4962	1335625587.216076
5.3652	55.50329	1337784554.5990708
5.36242	55.54023	1339947760.239753
5.35965	55.59327	1342107409.527496
5.35689	55.63932	1344263466.2646616
5.35412	55.65407	1346431563.575032
5.35136	55.62208	1348596056.8284423
5.3486	55.54318	1350764774.9629202
5.34584	55.43072	1352937727.49912
5.34309	55.30389	1355107027.9163902
5.34033	55.17939	1357288462.4842176
5.33759	55.06728	1359458306.3776708
5.33484	54.9712	1361640303.420997
5.3321	54.89196	1363818594.0048695
5.32936	54.83181	1366001114.4287844
5.32662	54.79729	1368187874.1708415
5.32389	54.79847	1370370878.6144125
5.32116	54.84492	1372558110.3420172
5.31843	54.94021	1374749578.7979329
5.3157	55.07825	1376945293.4497094
5.31298	55.24281	1379137197.5115218
5.31026	55.41055	1381333335.5500197
5.30754	55.55536	1383533716.9983704
5.30482	55.65331	1385738351.3129005
5.30211	55.68653	1387939119.2116034
5.2994	55.6459	1390144127.5712385
5.2967	55.53224	1392345225.7450285
