lambda_um	epsilon	I_BB
17.45948	88.63473	21148529.577793863
17.43014	89.99301	21282816.240620784
17.40089	91.45106	21417751.786449898
17.37175	92.47279	21553243.085246444
17.3427	92.61166	21689382.208643116
17.31374	93.01111	21826169.281944524
17.28489	93.56013	21963508.801319387
17.25613	94.06697	22101494.881368775
17.22746	93.48089	22240127.49266251
17.1989	92.74186	22379308.711583022
17.17042	91.98329	22519184.035209075
17.14204	91.32856	22659655.048554182
17.11375	90.87603	22800770.434953466
17.08556	90.68584	22942479.440301888
17.05746	90.77365	23084831.405090556
17.02945	91.11305	23227825.929181967
17.00153	91.64422	23371462.560091853
16.9737	92.27963	23515740.792392
16.94597	92.93004	23660607.624652006
16.91832	93.51756	23806166.925828233
16.89077	93.99793	23952312.735679273
16.86331	94.36847	24099096.76633192
16.83593	94.65793	24246572.299252305
16.80864	94.90528	24394685.248527784
16.78145	95.13795	24543379.82643828
16.75433	95.35846	24692819.767307755
16.72731	95.54364	24842839.377489317
16.70038	95.65791	24993492.484188475
16.67353	95.6762	25144834.53843227
16.64676	95.60607	25296865.633756973
16.62009	95.49537	25449470.947921917
16.59349	95.41906	25602821.490845695
16.56699	95.45086	25756743.601002686
16.54056	95.14642	25911410.770654004
16.51422	94.56268	26066705.798477434
16.48797	94.00981	26222627.15311032
16.4618	93.58122	26379233.303351413
16.43571	93.35458	26536523.929736443
16.4097	93.36726	26694498.662491523
16.38378	93.60627	26853095.667344913
16.35794	94.01602	27012374.97609234
16.33218	94.51694	27172336.056823485
16.3065	95.02617	27332978.325057577
16.2809	95.40855	27494301.143182017
16.25538	95.29397	27656303.819891106
16.22994	95.43498	27818985.609624755
16.20458	95.82551	27982345.71200718
16.1793	96.45833	28146383.271285944
16.1541	97.16596	28311097.375771258
16.12898	97.7443	28476487.05727573
16.10393	98.36032	28642617.851112228
16.07896	98.88502	28809423.081467394
16.05408	99.18001	28976834.084238105
16.02926	99.133	29145052.26061912
16.00452	98.36503	29313942.278740685
15.97987	96.93258	29483433.828663826
15.95528	95.34174	29653732.567889813
15.93077	93.87314	29824700.05577805
15.90634	92.77594	29996334.814499088
15.88198	92.20835	30168706.317372695
15.85769	92.20361	30341814.487210434
15.83348	92.67262	30515587.166961618
15.80935	93.44001	30690022.643315405
15.78528	94.29843	30865265.266926043
15.7613	94.95344	31041095.561444696
15.73738	95.23	31217732.387164634
15.71353	95.34044	31395102.298378646
15.68976	95.31967	31573129.703474727
15.66606	95.24546	31751888.218999054
15.64243	95.20776	31931377.30412588
15.61887	95.28287	32111596.366770193
15.59539	95.52007	32292467.460756797
15.57197	95.9406	32474143.95171125
15.54862	96.54338	32656548.328221492
15.52535	97.30885	32839600.84861923
15.50214	98.19411	33023457.983710367
15.479	99.05416	33208040.43223499
15.45593	99.78733	33393347.228660613
15.43293	99.77339	33579377.352018856
15.41	99.73395	33766129.72538459
15.38714	99.71409	33953603.21535582
15.36434	98.71278	34141879.49387398
15.34162	97.27326	34330792.16056375
15.31895	95.76762	34520590.222768605
15.29636	94.50687	34711022.02043619
15.27383	93.7288	34902254.74390792
15.25137	93.54729	35094202.91757379
15.22898	93.93166	35286865.015972435
15.20665	94.71391	35480326.38611853
15.18438	95.63788	35674587.16203548
15.16218	96.45152	35869559.31043838
15.14005	96.9975	36065241.07822525
15.11798	97.24464	36261719.976852134
15.09597	97.25034	36458995.94596221
15.07403	97.0974	36656978.33688251
15.05215	96.85434	36855756.316566356
15.03034	96.57738	37055237.90680724
15.00859	96.32607	37255513.388310045
14.9869	96.14778	37456582.45150309
14.96527	96.06358	37658444.73942828
14.94371	96.06124	37861005.5802903
14.9222	96.16942	38064452.42277308
14.90076	96.43334	38268595.592557065
14.87939	96.71948	38473432.6231921
14.85807	96.86374	38679154.606448434
14.83681	96.71003	38885665.34718799
14.81562	96.13433	39092866.02648863
14.79448	95.07898	39300951.44318065
14.77341	93.60746	39509723.91058951
14.75239	91.95975	39719380.729376934
14.73144	90.55258	39929721.48893772
14.71054	89.88431	40140946.01636164
14.68971	90.28347	40352851.148657225
14.66893	91.7798	40565639.26399338
14.64821	94.06548	40779207.82983064
14.62755	96.61149	40993555.65563223
14.60695	98.84633	41208681.49530757
14.5864	99.99968	41424689.50300276
14.56592	99.99969	41641368.09577202
14.54549	99.99969	41858927.465780124
14.52512	99.24393	42077260.69374146
14.5048	97.78253	42296474.489269644
14.48454	96.34073	42516460.44671792
14.46434	95.18059	42737216.93795181
14.4442	94.37043	42958742.27550564
14.42411	93.98745	43181145.77233551
14.40407	93.94511	43404427.76915319
14.3841	94.0966	43628363.5738889
14.36417	94.28699	43853288.76666083
14.3443	94.40071	44078977.833646424
14.32449	94.39126	44305428.751857
14.30473	94.28575	44532754.84657157
14.28503	94.16658	44760840.03270751
14.26538	94.13809	44989798.99763324
14.24579	94.28764	45219514.07458479
14.22624	94.65114	45450219.708065614
14.20676	95.01289	45681560.61999284
14.18732	95.45522	45913891.78405409
14.16794	95.94701	46146973.94940971
14.14861	96.40152	46380925.976100236
14.12933	96.76169	46615747.54425372
14.11011	96.77446	46851315.33866989
14.09094	96.54544	47087750.34903453
14.07182	96.32749	47325052.10576182
14.05275	96.24901	47563220.09227186
14.03374	96.39004	47802127.67670173
14.01477	96.76116	48042025.59373143
13.99586	97.30036	48282660.2511167
13.977	97.88688	48524156.99637645
13.95819	98.25524	48766515.0599961
13.93943	98.29938	49009733.62285061
13.92072	98.30993	49253811.81577216
13.90205	98.22105	49498880.38874265
13.88344	97.71644	49744675.84745168
13.86488	97.2118	49991328.02797999
13.84637	96.84167	50238835.85667125
13.82791	96.65882	50487198.207667805
13.8095	96.62374	50736413.90248006
13.79113	96.62791	50986618.33014977
13.77282	96.5359	51237537.80298856
13.75455	96.23524	51489445.069922835
13.73633	95.67892	51742202.12861249
13.71816	94.90443	51995807.54254195
13.70004	94.02138	52250259.81999942
13.68197	93.17272	52505557.413650356
13.66394	92.48485	52761841.294741854
13.64596	92.02778	53018968.96131933
13.62803	91.80229	53276938.708234265
13.61015	91.75736	53535748.773021
13.59231	91.82694	53795543.39985533
13.57452	91.96646	54056176.41048188
13.55677	92.17195	54317793.71332865
13.53908	92.474	54580098.54683091
13.52142	92.91253	54843535.05241375
13.50382	93.50616	55107654.9646201
13.48626	94.23024	55372756.276368126
13.46874	94.70736	55638839.49523541
13.45127	95.09149	55905751.85292804
13.43385	95.43117	56173491.03732246
13.41647	95.66065	56442209.748185046
13.39914	95.75922	56711752.32167071
13.38185	95.75968	56982273.195443965
13.3646	95.73448	57253772.614195764
13.3474	95.76545	57526091.989919454
13.33025	95.90971	57799228.66786472
13.31313	96.14968	58073501.285942174
13.29607	96.48426	58348427.86917736
13.27904	96.86441	58624490.47526041
13.26206	97.13309	58901364.86752505
13.24512	97.27471	59179212.60026109
13.22823	97.27909	59457868.09240261
13.21138	97.17191	59737494.712682
13.19457	96.96797	60018092.24909542
13.17781	96.50608	60299492.05736088
13.16108	96.0386	60582029.63610689
13.1444	95.63148	60865366.87306084
13.12776	95.32435	61149671.760390446
13.11117	95.12967	61434771.50719737
13.09461	95.04709	61721009.32479551
13.0781	95.07572	62008038.97433663
13.06163	95.21973	62296032.21553874
13.0452	95.48497	62584988.41332623
13.02881	95.86886	62874906.88669153
13.01246	96.34887	63165786.9083146
12.99616	96.87648	63457448.2564246
12.97989	97.38206	63750247.97325847
12.96366	97.7906	64044006.77017008
12.94748	97.89292	64338541.173453756
12.93134	97.87734	64634030.68483676
12.91523	97.8048	64930658.92972896
12.89917	97.71102	65228056.58210791
12.88315	97.57857	65526406.11930949
12.86716	97.39109	65825894.19582095
12.85122	97.31376	66126144.99574475
12.83531	97.34597	66427533.98010795
12.81945	97.23099	66729680.95850471
12.80362	97.09794	67032965.58126554
12.78783	96.94705	67337196.46229413
12.77208	96.77469	67642372.13404572
12.75637	96.57123	67948491.07661077
12.7407	96.32506	68255551.71734048
12.72507	96.03143	68563552.4304736
12.70948	95.70174	68872491.53676395
12.69392	95.36764	69182567.13830711
12.6784	95.07704	69493579.85126336
12.66292	94.88225	69805527.84747222
12.64748	94.82455	70118409.24380754
12.63207	94.92112	70432426.4441338
12.61671	95.11227	70747169.90772241
12.60138	95.27624	71063047.41701102
12.58608	95.58528	71380060.3094156
12.57083	95.9534	71697792.04265244
12.55561	96.28629	72016657.11770618
12.54043	96.49899	72336445.51138988
12.52528	96.52995	72657367.3290671
12.51017	96.34984	72979210.13459527
12.4951	95.96431	73301971.51645173
12.48006	95.4102	73625864.95036091
12.46506	94.74692	73950674.33388512
12.4501	94.04525	74276397.09130062
12.43517	93.37725	74603250.1093494
12.42028	92.80699	74931013.57221217
12.40542	92.38444	75259906.66842271
12.3906	92.14139	75589707.08501087
12.37581	92.09064	75920636.33098672
12.36106	92.22901	76252469.5747291
12.34635	92.543	76585203.85408953
12.33167	93.01431	76919064.18592258
12.31702	93.62222	77254051.19260916
12.30241	94.34195	77589934.94145922
12.28783	95.1398	77926944.01448882
12.27329	95.96852	78264845.89571472
12.25878	96.76642	78603871.56266607
12.24431	97.46309	78943785.89447756
12.22987	97.99179	79284822.28301728
12.21547	98.30458	79626742.98093617
12.2011	98.38423	79969783.8132872
12.18676	98.2481	80313945.02744515
12.17245	97.94355	80659226.83477174
12.15818	97.53761	81005386.18396743
12.14395	97.10541	81352419.31597099
12.12974	96.72031	81700814.06001209
12.11557	96.44641	82050080.09958138
12.10144	96.33272	82400213.49996392
12.08733	96.40758	82751709.80085753
12.07326	96.6733	83104070.6836638
12.05922	97.10162	83457544.46238849
12.04522	97.3878	83811877.19603164
12.03124	97.68696	84167574.85331723
12.0173	97.97349	84524128.29887475
12.00339	98.19948	84881790.98324423
